"","Time","Cell_Type","Measurement","variable","value"
"117",6,"speE/pSpeG(Y135A)","Activity","C",1435.14
"118",7.25,"speE/pSpeG(Y135A)","Activity","C",1264.92
"119",8.5,"speE/pSpeG(Y135A)","Activity","C",1394.83
"120",9.75,"speE/pSpeG(Y135A)","Activity","C",1467.73
"121",0.5,"speE/pSpeG(Y135A)","OD","C",0.06
"122",2,"speE/pSpeG(Y135A)","OD","C",0.17
"123",3.5,"speE/pSpeG(Y135A)","OD","C",0.52
"124",4.75,"speE/pSpeG(Y135A)","OD","C",0.83
"125",6,"speE/pSpeG(Y135A)","OD","C",1.4
"126",7.25,"speE/pSpeG(Y135A)","OD","C",1.78
"127",8.5,"speE/pSpeG(Y135A)","OD","C",2.22
"128",9.75,"speE/pSpeG(Y135A)","OD","C",2.36
"129",0.5,"speE/VC","Activity","C",-48.74
"130",2,"speE/VC","Activity","C",776.99
"131",3.5,"speE/VC","Activity","C",990.73
"132",4.75,"speE/VC","Activity","C",1174.99
"133",6,"speE/VC","Activity","C",1060.32
"134",7.25,"speE/VC","Activity","C",1117.61
"135",8.5,"speE/VC","Activity","C",1218.72
"136",9.75,"speE/VC","Activity","C",1334.8
"137",0.5,"speE/VC","OD","C",0.07
"138",2,"speE/VC","OD","C",0.13
"139",3.5,"speE/VC","OD","C",0.7
"140",4.75,"speE/VC","OD","C",1.1
"141",6,"speE/VC","OD","C",1.68
"142",7.25,"speE/VC","OD","C",2.07
"143",8.5,"speE/VC","OD","C",2.41
"144",9.75,"speE/VC","OD","C",2.59
"145",0.5,"speE/pSpeG","Activity","D",-67.07
"146",2,"speE/pSpeG","Activity","D",593.31
"147",3.5,"speE/pSpeG","Activity","D",656.12
"148",4.75,"speE/pSpeG","Activity","D",944.38
"149",6,"speE/pSpeG","Activity","D",878.3
"150",7.25,"speE/pSpeG","Activity","D",1021.3
"151",8.5,"speE/pSpeG","Activity","D",1057.27
"152",9.75,"speE/pSpeG","Activity","D",1162.78
"153",0.5,"speE/pSpeG","OD","D",0.06
"154",2,"speE/pSpeG","OD","D",0.16
"155",3.5,"speE/pSpeG","OD","D",0.49
"156",4.75,"speE/pSpeG","OD","D",0.8
"157",6,"speE/pSpeG","OD","D",1.16
"158",7.25,"speE/pSpeG","OD","D",1.53
"159",8.5,"speE/pSpeG","OD","D",2.03
"160",9.75,"speE/pSpeG","OD","D",2.23
"161",0.5,"speE/pSpeG(Y135A)","Activity","D",85.99
"162",2,"speE/pSpeG(Y135A)","Activity","D",1020.96
"163",3.5,"speE/pSpeG(Y135A)","Activity","D",2102.4
"164",4.75,"speE/pSpeG(Y135A)","Activity","D",1686.34
"165",6,"speE/pSpeG(Y135A)","Activity","D",1338.4
"166",7.25,"speE/pSpeG(Y135A)","Activity","D",1390.75
"167",8.5,"speE/pSpeG(Y135A)","Activity","D",1495.05
"168",9.75,"speE/pSpeG(Y135A)","Activity","D",1370.11
"169",0.5,"speE/pSpeG(Y135A)","OD","D",0.07
"170",2,"speE/pSpeG(Y135A)","OD","D",0.23
"171",3.5,"speE/pSpeG(Y135A)","OD","D",0.66
"172",4.75,"speE/pSpeG(Y135A)","OD","D",1.05
"173",6,"speE/pSpeG(Y135A)","OD","D",1.67
"174",7.25,"speE/pSpeG(Y135A)","OD","D",2.08
"175",8.5,"speE/pSpeG(Y135A)","OD","D",2.44
"176",9.75,"speE/pSpeG(Y135A)","OD","D",2.56
"177",0.5,"speE/VC","Activity","D",-28.55
"178",2,"speE/VC","Activity","D",499.99
"179",3.5,"speE/VC","Activity","D",1373.79
"180",4.75,"speE/VC","Activity","D",1654.86
